symbol,period,year,cash_only,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,total_revenue,gross_income,pretax_income,operating_income,net_income,net_operating_cash_flow
KUAS.JK,tw2,2024,35170933046,103741846981.0,274860707394,90503044479.0,118507588558,156353118836,156353118836,82523509446.0,21130888136.0,3870697900,3130261480,3130261480,572301851
PNSE.JK,tw1,2024,19608344277,300690030361.0,354817667557,82317485175.0,159146643598,124829526341,195671023959,41217463959.0,20001416725.0,-3853277268,-3896620236,-3896620236,-1973899510
PNSE.JK,tw2,2024,25833181770,300702565452.0,363673297649,95983496728.0,167866102741,126979160482,195807194908,99332962735.0,54345094903.0,4357226080,4270540144,4270540144,7143023111
HAIS.JK,tw1,2024,154263796376,625406025739.0,950775913743,135812258527.0,254932390935,693624902715,695843522808,243376310539.0,57409333078.0,33142986027,29704016224,29704016224,39380430185
HAIS.JK,tw2,2024,144149337682,678198161219.0,969937360945,131342919161.0,299870820716,667902613742,670066540229,472978046477.0,109478052146.0,63165516056,56399508645,56399508645,99258198686
HALO.JK,tw1,2024,14694227010,134500092230.0,251214785711,43619469105.0,81175911127,170038874584,170038874584,30565422800.0,4475697213.0,516614722,358273242,358273242,18167288300
HALO.JK,tw2,2024,16874487489,132927044200.0,246954149025,38582408745.0,76138850767,170815298258,170815298258,68149539500.0,16912198068.0,9530323120,1134456916,1134456916,29035605770
INRU.JK,tw1,2024,1801000,420623000.0,480269000,51871000.0,372954000,107315000,107315000,19161000.0,3313000.0,-3700000,-2817000,-2817000,7845000
INRU.JK,tw2,2024,598000,414635000.0,479541000,49978000.0,370852000,108689000,108689000,51722000.0,7635000.0,-1946000,-1443000,-1443000,15649000
CSIS.JK,tw1,2024,6447584494,124050546216.0,549933423747,210917778547.0,234616078421,159919233252,315317345326,8537802080.0,3743937265.0,-568440104,-723484437,-723484437,1678257707
TRON.JK,tw1,2024,38414120445,96498131090.0,263966196628,17314058670.0,50498982940,213467213688,213467213688,30742764432.0,8608088800.0,2294437709,2294437709,2294437709,-10982511047
TRON.JK,tw2,2024,41036328130,102561107363.0,273117160315,39017352148.0,57283053081,215834107234,215834107234,63769770765.0,15751766788.0,4661331256,4661331256,4661331256,5762868625
BTON.JK,tw1,2024,657763131,46620029213.0,380239042000,107792168644.0,109335871562,270903170438,270903170438,26106548840.0,3058853880.0,12471105149,13286294786,13286294786,180184007
BTON.JK,tw2,2024,380173403,46122900477.0,403616962518,115216040349.0,116260771033,287356191485,287356191485,57707898220.0,5937516352.0,28047697030,29357499122,29357499122,-1073291642
TMPO.JK,tw1,2024,15513486000,205412424000.0,422962227000,151632354000.0,216331926000,195915352000,206630301000,83250419000.0,15405096000.0,-3884250000,-2942919000,-2942919000,1958700000
TNCA.JK,tw1,2024,2558366792,29803836482.0,53485390752,7754771900.0,8917741839,44570062564,44567648913,16697853905.0,5043568004.0,1273386441,1061497848,1061497848,-499150537
TNCA.JK,tw2,2024,1609616851,29071607971.0,50932823623,5415548813.0,6592435328,44342463143,44340388295,35872175315.0,9471413709.0,1122044834,791064099,791064099,-920393245
JAST.JK,tw1,2024,13012033452,95770410444.0,147239034457,48614718661.0,54295976881,79968581414,92943057576,36281638897.0,12285799116.0,1422230200,1422230200,1422230200,5142786441
INCI.JK,tw1,2024,128376689362,221907189769.0,483997457418,34449951380.0,42634259502,439600182943,441363197916,79750887715.0,16661062066.0,5242888317,4201645252,4201645252,998925222
INCI.JK,tw2,2024,149492374986,223170447880.0,507833948775,50389264017.0,58573572139,447494466834,449260376636,166903513708.0,35169537336.0,14388159640,11536473010,11536473010,23785153865
PSDN.JK,tw1,2024,3238361415,134046088337.0,147025474583,22484295077.0,86018091536,61007383047,61007383047,1404750800.0,214065887.0,-5074828883,-5074828883,-5074828883,-2896035130
PSDN.JK,tw2,2024,2536984261,128165580462.0,149972653959,71860873714.0,91842235403,58130418556,58130418556,19831306800.0,2736395547.0,-7951793374,-7951793374,-7951793374,-7185964893
PACK.JK,tw2,2024,5131585154,42096610521.0,79592070890,21420014598.0,23540502954,56051567936,56051567936,29550869360.0,7870628291.0,1642703738,1294365029,1294365029,2893328162
LPIN.JK,tw1,2024,38769760131,210779423524.0,347737376448,14287512053.0,22190524053,317749731138,325546852395,31002061969.0,9098957683.0,8889936435,8119753835,8119753835,3478153274
LPIN.JK,tw2,2024,41902270318,208324778086.0,342170591641,10022391377.0,17988928377,316384542007,324181663264,73607830118.0,20525253758.0,19483427064,17295956504,17295956504,11136575632
RONY.JK,tw1,2024,64644778,1653182230.0,8297425710,3506168243.0,3535426166,4761999544,4761999544,521915271.0,311354841.0,27688378,27688378,27688378,57910524
RONY.JK,tw2,2024,146403716,1464057146.0,8645743279,3781611702.0,3810869625,4834873654,4834873654,1121628521.0,701593091.0,100562488,100562488,100562488,139669462
LMAX.JK,tw2,2024,30136193827,2834471785.0,75207100931,22220611806.0,25057235730,50149865201,50149865201,37909133075.0,14846576442.0,1026681311,753850264,753850264,-119141462
PUDP.JK,tw1,2024,7300066182,285767167265.0,528815687668,11003324929.0,16347323834,512358580213,512468363834,7588260574.0,4857158275.0,-3948256824,-4157013503,-4157013503,814515159
BOBA.JK,tw1,2024,13211913115,116252674621.0,180816464250,25573615987.0,26539227767,154277236483,154277236483,42110412691.0,11823484164.0,4034083257,3226178087,3226178087,7213202951
BOBA.JK,tw2,2024,10329167417,117013120787.0,172794493847,21739796974.0,22722857775,150071636072,150071636072,83734340609.0,24706980214.0,9220085547,7110827676,7110827676,12666579197
BEER.JK,tw1,2024,25568138741,10170800515.0,247683008245,13185862743.0,14454022912,233228985333,233228985333,4316325444.0,2643779926.0,107371964,81931122,81931122,-2462087320
BEER.JK,tw2,2024,20525269266,9069043887.0,250114810183,15488998741.0,16757158910,233357651273,233357651273,11685297812.0,6973305776.0,272328297,210597062,210597062,-324855642
GOLD.JK,tw1,2024,38954045000,357480240000.0,419367290000,36023702000.0,40139819000,379226127000,379227471000,12338030000.0,7803258000.0,5099975000,4899804000,4899804000,2347925000
GOLD.JK,tw2,2024,41634588000,362821045000.0,422163790000,33675388000.0,37844346000,384318084000,384319444000,25229125000.0,15647380000.0,9955172000,9629211000,9629211000,12388689000
LUCY.JK,tw2,2024,22752780025,108471096125.0,159097825398,19181384884.0,61478713913,97619111485,97619111485,39213472909.0,26248667745.0,-6950243968,-6950243968,-6950243968,-26447897680
INOV.JK,tw1,2024,94175166000,552116066000.0,988066178000,691658678000.0,741415364000,246650814000,246650814000,151635319000.0,24391155000.0,-24068556000,-18160978000,-18160978000,-13327465000
INOV.JK,tw2,2024,93140868000,543364053000.0,979190301000,709222154000.0,744482775000,234707526000,234707526000,306609876000.0,51480604000.0,-39817878000,-30104278000,-30104278000,-4051786000
