symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
ZINC.JK,2024-03-31,1,560437796637.0,2026119090679.0,2586556887316.0,,,41006201894.0,444436232373.0,1419465136804.0,1863901369177.0,722655518139.0,1538332301172.0,722955893464.0,66607325785.0,50268436893.0,16338888892.0,17750138113.0,34089027005.0,-55900527402.0,-21811500397.0,0.0,-1929646595.0,-19881853802.0,30364981358.0,8553480961.0,,25166903546.83544,32294566643.0,-7186055776.0,-30551002720.0,-5442491853.0,7173121485.0,39467688128.0,
TRUS.JK,2024-03-31,8,,,429898209095.0,12273700.0,,12273700.0,,,47542619476.0,382355589619.0,,382355589619.0,5891048365.0,,5891048365.0,5891048365.0,6287484743.0,,6287484743.0,-1185504407.0,,5101980336.0,,,,799683438.2445141,-67274144380.0,-1713384974.0,-165407847.0,-69152937201.0,1719384974.0,-65554759406.0,
CBRE.JK,2024-03-31,1,32237333314.0,325916772528.0,358154105842.0,,,8571708291.0,35194244688.0,152332299860.0,187526544548.0,170627561294.0,170384057412.0,170627561294.0,15098281935.0,7294971396.0,7803310539.0,2151777607.0,9955088146.0,-7829242062.0,2125846084.0,-181179383.0,,1944666701.0,3555716990.0,5681563074.0,,4522480700.0,884304696.0,-168362748383.0,2464669599.0,-165013774088.0,168362748383.0,169247053079.0,
KMDS.JK,2024-03-31,1,171882804898.0,94594431621.0,266477236519.0,,,46454535602.0,40996573929.0,4579377698.0,45575951627.0,220901284892.0,862617560.0,220566460609.0,88303390069.0,59447720201.0,28855669868.0,12349005393.0,41204675261.0,-24330569300.0,16874105961.0,-3585372120.0,-2329450.0,13291063291.0,22668236.0,16896774197.0,,781827252.4117647,9911116837.0,-61924514.0,-173384234.0,9675808089.0,61924514.0,9973041351.0,
JKSW.JK,2024-03-31,1,36460866058.0,118480081710.0,154940947768.0,,,5561072240.0,10656994060.0,639260330702.0,649917324762.0,-494976376994.0,,-494976376994.0,,,,3756641244.0,3756641244.0,,,,,-1095708706.0,738200.0,,,-43758334.904153354,-644164619.0,,,-644164619.0,,,
LRNA.JK,2024-03-31,1,20666628530.0,327710106610.0,348376735140.0,,,2529938804.0,20379735998.0,30855930832.0,51235666830.0,297141068310.0,6459148897.0,297141068310.0,19061863968.0,22464087481.0,-3402223513.0,6651811895.0,3249588382.0,-12687894439.0,-9438306057.0,,,-9438306057.0,170002719.0,-9268303338.0,,349955730.70077866,-621681067.0,,2523193717.0,1901512650.0,,,
FISH.JK,2024-03-31,1,338317000.0,130270762.0,468587762.0,,,50008849.0,238578169.0,43338942.0,281917111.0,186670651.0,134277610.0,178555858.0,389921778.0,369709819.0,20211959.0,7201100.0,27413059.0,-14476598.0,12936461.0,-2785787.0,159589.0,9991085.0,2601978.0,15538439.0,,479999999.99999994,711563.0,-1347292.0,-12562820.0,-13198549.0,1391525.0,2103088.0,
FAST.JK,2024-03-31,1,965854023000.0,2999019039000.0,3964873062000.0,,,209868302000.0,2099557239000.0,1330014569000.0,3429571808000.0,535301254000.0,1296779240000.0,524025918000.0,1178609484000.0,514429807000.0,664179677000.0,903575192000.0,1567754869000.0,-1818973751000.0,-251218882000.0,54134618000.0,-872485000.0,-196211779000.0,19520069000.0,-231698813000.0,,4004322.0204081633,68579856000.0,-88842993000.0,20451291000.0,188154000.0,82739889000.0,151319745000.0,
RMKE.JK,2024-03-31,1,1127327000074.0,1082474090308.0,2209801090382.0,,,19774884584.0,606100681699.0,81024768382.0,687125450081.0,1522675640301.0,457570786895.0,1507710316745.0,585855230310.0,514329706372.0,71525523938.0,20495060201.0,92020584139.0,-43370256239.0,48650327900.0,-10885688578.0,-6812578461.0,44577217783.0,9840609412.0,58490937312.0,,4374604296.663396,131987820068.0,-64779074011.0,-43094681831.0,24114064226.0,108977552749.0,240965372817.0,
PYFA.JK,2024-03-31,1,968996556348.0,943195892544.0,1912192448892.0,,,453647721635.0,331607628159.0,1268841774525.0,1600449402684.0,311743046208.0,1397444319574.0,311517279885.0,151635602123.0,92569139624.0,59066462499.0,82499400182.0,141565862681.0,-186882520452.0,-45316657771.0,0.0,-17561.0,-45316640210.0,26624530441.0,-18692127330.0,,535088442.67327905,-30507969447.0,-1038892282.0,395225672309.0,363678810580.0,1158623864.0,-29349345583.0,
BUDI.JK,2024-03-31,1,1917499000000.0,1595370000000.0,3512869000000.0,,,68672000000.0,1446867000000.0,452120000000.0,1898987000000.0,1613882000000.0,1402139000000.0,1487779000000.0,968170000000.0,857545000000.0,110625000000.0,46726000000.0,157351000000.0,-129059000000.0,28292000000.0,-5737000000.0,1757000000.0,20798000000.0,31540000000.0,59832000000.0,,4501.731601731602,-75436000000.0,-44749000000.0,72035000000.0,-48150000000.0,26947000000.0,-48489000000.0,
DUTI.JK,2024-03-31,2,7700575504487.0,7497779452455.0,15198354956942.0,,,2975025834077.0,3015526895953.0,463807659998.0,3479334555951.0,11719020400991.0,2092465377.0,10429028823374.0,892411672804.0,350156042240.0,542255630564.0,263255384021.0,805511014585.0,-542407542743.0,263103471842.0,-613295523.0,103906065437.0,262490176319.0,35862165818.0,298965637660.0,,1850024625.314979,58139013288.0,17427161643.0,23760740000.0,99326914931.0,23230553116.0,81369566404.0,
