symbol,period,year,cash_only,total_assets,total_liabilities,stockholders_equity,total_equity,pretax_income,operating_income,net_income,net_operating_cash_flow,total_non_current_assets,total_current_liabilities,total_revenue,gross_income
AEGS.JK,tw2,2024,23595534151,73912853980,5692871421,68219982559,68219982559,361578406,276579162,276579162,1326630514,21785073014.0,5371781603.0,13172179187.0,2891392387.0
SICO.JK,tw1,2024,29559901707,143819444267,21308492899,118477525384,122510951368,5168497081,5168497081,5168497081,-2103485583,75370029616.0,8934739877.0,25524482812.0,9833998079.0
SICO.JK,tw2,2024,26850294572,149329078406,25724164490,119437933971,123604913916,9766250948,8081440071,8081440071,1819429888,79636693519.0,14262488969.0,49222475087.0,20739990128.0
FOLK.JK,tw1,2024,2997499769,116221193533,10415383752,108247393446,105805809781,-4724891501,-4724891501,-4724891501,-1275268111,76895988748.0,9313956369.0,4836862937.0,2300389372.0
FOLK.JK,tw2,2024,1853021041,112578510684,10597812713,105421308054,101980697971,-8566771949,-8534568716,-8534568716,-3402923454,76004543584.0,9423020673.0,9803883067.0,4595648855.0
WINR.JK,tw1,2024,1508314600,456902224077,96903364720,340713459430,359998859357,1338516168,1181865825,1181865825,3059890322,210923628424.0,83455588051.0,6417097700.0,2480625765.0
WINR.JK,tw2,2024,14297264674,467748721713,108362148426,340170287249,359386573287,779340598,568479255,568479255,7379798959,205741157555.0,88414938966.0,8585537700.0,3384068242.0
GRIA.JK,tw1,2024,27405768577,477331504344,91957149269,385374355075,385374355075,924369244,907270721,907270721,-832798488,323032205817.0,47447665768.0,13768730573.0,4153615364.0
GRIA.JK,tw2,2024,18615437682,474606754697,89100704672,385506050025,385506050025,1096884400,1038965671,1038965671,-693437657,326675129654.0,46601621171.0,26110016675.0,8422559999.0
GULA.JK,tw1,2024,37202176978,225831597567,76622398321,149209199246,149209199246,704130581,548721708,548721708,-382316198,101775219401.0,75237935433.0,69299241532.0,3931602875.0
GULA.JK,tw2,2024,35301009251,225599985744,76157508849,149442476895,149442476895,1026123443,781999357,781999357,392754728,103434226411.0,74793190929.0,122265371103.0,7727915751.0
WIDI.JK,tw2,2024,11545525072,49658867775,2459551251,47199316524,47199316524,451226742,323678887,323678887,1793527330,29144714127.0,1645245781.0,6156093437.0,2394766725.0
MSIE.JK,tw1,2024,20079177186,135122690735,21735953399,113386133036,113386737336,-44787764,-44787764,-44787764,-762724309,102350118701.0,5236256395.0,1579565675.0,789885175.0
MSIE.JK,tw2,2024,18895874998,134429447941,21270314141,113158619339,113159133800,133109871,133109871,133109871,-2894820934,106720812838.0,10226049565.0,3183131350.0,1581600192.0
PADA.JK,tw1,2024,46173018214,335892198541,204179667808,131712530733,131712530733,-2157505041,-2293998767,-2293998767,9708332306,69185479131.0,158860336228.0,230044756733.0,9420500488.0
PADA.JK,tw2,2024,25459426466,318347996417,190185553324,128162443093,128162443093,-4801575462,-5844086407,-5844086407,-3943738890,66758795338.0,148705118022.0,448898874798.0,17503148605.0
PTPS.JK,tw1,2024,62334368563,169223904076,3400239250,165823664826,165823664826,3951724362,3093993033,3093993033,2444807554,72196353081.0,2952872629.0,11631170435.0,5438472790.0
PTPS.JK,tw2,2024,50282136081,174344933581,7884372967,166460560614,166460560614,9735039406,8491490180,8491490180,4631954915,76707330407.0,7514898065.0,23496587880.0,10108535046.0
