symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
RGAS.JK,2024-03-31,66756963181.0,23273873640.0,90030836821.0,,,26568371584.0,2593202094.0,728824537.0,3322026631.0,86708810190.0,,86626858399.0,20530026602.0,14407709664.0,6122316938.0,4521856005.0,10644172943.0,-8817534226.0,1826638717.0,-615650315.0,-1421194.0,1212409596.0,,,,1460734453.0120482,3867852695.0,-708066423.0,,3159786272.0,721042460.0,4588895155.0,
MDIA.JK,2024-03-31,7128200047000.0,866564001000.0,7994764048000.0,,,10184264000.0,6038377161000.0,96548456000.0,6134925617000.0,1859838431000.0,1798147606000.0,1842094464000.0,173199428000.0,75274815000.0,97924613000.0,74408607000.0,172333220000.0,-239725287000.0,-67392067000.0,-3449122000.0,-36959000.0,-70804230000.0,,,,39215538.4,-317480000.0,1312488000.0,-151996000.0,843012000.0,-887488000.0,-1204968000.0,
NTBK.JK,2024-03-31,109402085569.0,21646584704.0,131048670273.0,,,12359461576.0,30620728465.0,5367895999.0,35988624464.0,95060045809.0,896656430.0,95060045809.0,21749289479.0,18338094906.0,3411194573.0,3353721536.0,6764916109.0,-6667735875.0,97180234.0,-85501077.0,,11679157.0,,,,2919789250.0,746730930.0,-75221500.0,-10084765817.0,-9413256387.0,75221500.0,821952430.0,
CNTX.JK,2024-03-31,14031440.0,17876801.0,31908241.0,,,203107.0,51223889.0,2265928.0,53489817.0,-21581576.0,16000000.0,-21581576.0,6999357.0,7023551.0,-24194.0,784736.0,760542.0,-2217230.0,-1456688.0,0.0,,-1456688.0,711427.0,-745261.0,,-145668800.0,-573820.0,40340.0,663664.0,130184.0,-38174.0,-611994.0,
AXIO.JK,2024-03-31,627471828555.0,255992172261.0,883464000816.0,,,28743274386.0,316495996801.0,27313824038.0,343809820839.0,539654179977.0,129263481675.0,518600800078.0,201105316982.0,170142219885.0,30963097097.0,22120932592.0,53084029689.0,-45703889990.0,7380139699.0,-835272159.0,1219570961.0,5325296579.0,1762708433.0,9142848132.0,,5851974262.6373625,-78119164967.0,-3860781296.0,51509060721.0,-30470885542.0,3860781296.0,-74258383671.0,
PICO.JK,2024-03-31,342537509105.0,369087708514.0,711625217619.0,,,5228912734.0,182619063258.0,321624050194.0,504243113452.0,207382104167.0,113815439111.0,207382104167.0,172189093177.0,155903135132.0,16285958045.0,9379012705.0,25664970750.0,-23440240143.0,2224730607.0,205830420.0,,2430561027.0,,,,565246750.4651163,378622108.0,1058550092.0,-1474381657.0,-37209457.0,90872677.0,469494785.0,
UFOE.JK,2024-03-31,244167402795.0,237295569372.0,481462972167.0,,,14014941644.0,251822508901.0,15904100212.0,267726609113.0,213736363054.0,96895363930.0,213105642187.0,233033717702.0,210119243914.0,22914473788.0,20778695431.0,43693169219.0,-40075614449.0,3617554770.0,-853695647.0,17521775.0,2746337348.0,1825699414.0,5443254184.0,,2288614456.666667,3384949470.0,-4329408851.0,3564729547.0,2620270166.0,2284270692.0,5669220162.0,
SRSN.JK,2024-03-31,567456418000.0,345944355000.0,913400773000.0,,,17013814000.0,172280569000.0,21741158000.0,194021727000.0,719379046000.0,124166790000.0,719379046000.0,228194939000.0,181329292000.0,46865647000.0,35011887000.0,81877534000.0,-70843370000.0,11034164000.0,-2440638000.0,,8593526000.0,2782341000.0,13816505000.0,,6009458.741258741,34349122000.0,-6451966000.0,-29336692000.0,-1439536000.0,6451966000.0,40801088000.0,
MKTR.JK,2024-03-31,540743334000.0,823792336000.0,1364535670000.0,,,172542312000.0,279580107000.0,495763045000.0,775343152000.0,589192518000.0,687063271000.0,587659672000.0,247639985000.0,214865855000.0,32774130000.0,15037710000.0,47811840000.0,-38613340000.0,9198500000.0,-4481990000.0,41503000.0,4675007000.0,10063750000.0,19262250000.0,,11987197.435897436,896177000.0,-42225172000.0,25627509000.0,-15701486000.0,38233989000.0,39130166000.0,
ALKA.JK,2024-03-31,318038806000.0,11359202000.0,329398008000.0,,,265030566000.0,117903369000.0,2366481000.0,120269850000.0,209128158000.0,86170000.0,209058461000.0,13822661000.0,8788779000.0,5033882000.0,3192148000.0,8226030000.0,-9805475000.0,-1579445000.0,332000.0,43258000.0,-1622371000.0,20254000.0,-1559191000.0,,506990.9375,-49207852000.0,-3687325000.0,-74626000.0,-52969803000.0,3687325000.0,-45520527000.0,
